id,text,source,language_pair,category,severity_hint,risk_flag
CS001,"सीने में जलन है (seene mein jalan hai)
Literal: There is burning in the chest
Meaning: Often refers to heartburn/acidity (GERD/dyspepsia); must distinguish from cardiac chest pain.
Cultural context: Commonly used for acid reflux after oily/spicy food; not necessarily cardiac.
Synonyms/variants: सीना जल रहा है, छाती में जलन, heartburn, acidity
Disambiguation questions: क्या दर्द चलने/मेहनत करने पर बढ़ता है? | क्या दर्द बाएं हाथ या गर्दन तक जाता है? | खाना खाने के बाद या लेटने पर बढ़ता है? | डकार या एंटासिड से राहत मिलती है?",cultural_semantics,hi-en,Gastrointestinal vs Cardiac,mild_to_moderate,True
CS002,"पेट में आग लगी है (pet mein aag lagi hai)
Literal: There is fire in the stomach
Meaning: Severe acidity/epigastric burning; consider gastritis/ulcer if chronic or with alarm features.
Cultural context: Hyperbolic phrase for intense burning due to acidity.
Synonyms/variants: पेट में जलन, खट्टी डकारें, gas
Disambiguation questions: क्या मल काला है या खून आ रहा है? | क्या दर्द खाली पेट अधिक होता है? | क्या दर्द एंटासिड से कम होता है? | NSAIDs/शराब का प्रयोग?",cultural_semantics,hi-en,Gastrointestinal,moderate,True
CS003,"मेरे वो दिन चल रहे हैं (mere woh din chal rahe hain)
Literal: Those days are going on
Meaning: Menstruation/period is ongoing.
Cultural context: Euphemism to refer to menstruation politely.
Synonyms/variants: पीरियड्स चल रहे हैं, मासिक धर्म चल रहा है
Disambiguation questions: दर्द कितना है (1–10)? | खून का बहाव सामान्य से अधिक है? | कितने दिन हो गए? | गर्भावस्था की कोई संभावना?",cultural_semantics,hi-en,Reproductive Health,varies,False
CS004,"उन दिनों में नेगेटिव विचार ज़्यादा आते हैं (unn dino mein negative vichaar zyada aate hain)
Literal: During those days, negative thoughts come more
Meaning: Mood changes around menstruation; consider PMS/PMDD if functional impairment.
Cultural context: Associates mood swings with menstrual phase; stigma may reduce explicit disclosure.
Synonyms/variants: पीरियड के आसपास मूड स्विंग्स, चिड़चिड़ापन
Disambiguation questions: क्या ये लक्षण हर चक्र में होते हैं? | क्या काम/पढ़ाई प्रभावित होती है? | नींद और भूख पर असर? | कभी स्वयं को चोट पहुँचाने का विचार?",cultural_semantics,hi-en,Reproductive Health / Mental Health,mild_to_moderate,True
CS005,"पेशाब में जलन होती है (peshab mein jalan hoti hai)
Literal: There is burning in urination
Meaning: Dysuria suggesting UTI; consider STI, vaginitis, prostatitis based on context.
Cultural context: Often attributed to ‘heat’ (गर्मी) or dehydration.
Synonyms/variants: पेशाब में दर्द, मूत्र में जलन
Disambiguation questions: क्या बुखार या कमर के तरफ दर्द है? | खून दिखा? | गर्भावस्था की संभावना? | पहले भी ऐसा हुआ है?",cultural_semantics,hi-en,Genitourinary,mild_to_moderate,True
CS006,"गर्मी चढ़ गई है (garmi chadh gayi hai)
Literal: Heat has risen
Meaning: May refer to fever, heat exhaustion, or general malaise from hot weather/spicy food.
Cultural context: ‘Heat’ is a common explanatory model; not specific clinically.
Synonyms/variants: बॉडी गर्म लग रही है, हॉट फील
Disambiguation questions: क्या बुखार नापा है (थर्मामीटर)? | धूप में ज्यादा समय रहे? | सिर दर्द, उल्टी, चक्कर? | पानी कम पिया?",cultural_semantics,hi-en,General / Infectious / Environmental,varies,True
CS007,"दिल भारी लगता है (dil bhaari lagta hai)
Literal: The heart feels heavy
Meaning: Sadness/low mood; sometimes chest heaviness metaphor—assess for depression vs cardiac if physical symptoms.
Cultural context: Metaphor for grief/sadness; may be mistaken as physical pain.
Synonyms/variants: मन भारी है, दिल उदास है
Disambiguation questions: ये भावनात्मक उदासी है या शारीरिक दर्द? | कभी स्वयं को चोट पहुँचाने का विचार? | सीढ़ियाँ चढ़ने पर दर्द/घुटन?",cultural_semantics,hi-en,Mental Health vs Cardiac,mild_to_moderate,True
CS008,"सांस फूलती है (saans phoolti hai)
Literal: Breath gets puffed
Meaning: Shortness of breath; consider asthma, COPD, anemia, heart failure, anxiety, deconditioning.
Cultural context: Common phrase for dyspnea on exertion or anxiety.
Synonyms/variants: घुटन, सांस चढ़ना
Disambiguation questions: सीटी जैसी सांस (wheezing) होती है? | लेटने पर बढ़ती है? | कितनी दूरी पर सांस फूलती है? | सीने में दर्द के साथ है?",cultural_semantics,hi-en,Respiratory / Cardiac,moderate,True
CS009,"चक्कर आ रहा है (chakkar aa raha hai)
Literal: Dizziness is coming
Meaning: Non-specific dizziness; can mean vertigo, lightheadedness, presyncope.
Cultural context: Used broadly; needs precise characterization.
Synonyms/variants: सर घूम रहा है, हल्का-हल्का लग रहा है
Disambiguation questions: क्या कमज़ोरी/बेहोशी जैसा लगता है या कमरे के घूमने जैसा? | उठते ही होता है? | कान में आवाज़/सुनाई कम? | खून की कमी/शुगर की समस्या?",cultural_semantics,hi-en,Neurology / General,mild_to_moderate,True
CS010,"कमज़ोरी लग रही है (kamzori lag rahi hai)
Literal: Feeling weakness
Meaning: Generalized fatigue/weakness; could be anemia, hypothyroid, infection, depression.
Cultural context: Common catch-all for tiredness; often nutritional.
Synonyms/variants: थकान, दम नहीं है
Disambiguation questions: कब से कमज़ोरी है? | वजन कम हुआ? | खून की कमी/थायरॉइड की जाँच हुई? | नींद कैसी है?",cultural_semantics,hi-en,General / Endocrine / Mental Health,mild_to_moderate,False
CS011,"खून की कमी है (khoon ki kami hai)
Literal: There is a lack of blood
Meaning: Anemia (self-reported or suspected).
Cultural context: Lay term for anemia; often nutritional (iron/B12).
Synonyms/variants: ब्लड कम है, हीमोग्लोबिन कम
Disambiguation questions: हाल की जाँच में Hb कितना था? | भूख/डाइट कैसी है? | महिलाओं में मासिक धर्म का बहाव ज्यादा? | कभी बेहोशी/धड़कन तेज़?",cultural_semantics,hi-en,Hematology,varies,False
CS012,"शुगर है (sugar hai)
Literal: There is sugar
Meaning: Diabetes mellitus (self-reported).
Cultural context: ‘Sugar’ commonly used for diabetes.
Synonyms/variants: डायबिटीज़, मधुमेह
Disambiguation questions: सुगर कंट्रोल के लिए कौनसी दवा? | शुगर का आखिरी रीडिंग/HbA1c? | लो शुगर के लक्षण हुए?",cultural_semantics,hi-en,Endocrine,chronic,False
CS013,"बीपी बढ़ा हुआ है (BP badha hua hai)
Literal: BP is elevated
Meaning: Hypertension or transient high blood pressure.
Cultural context: Self-reported from kiosk/home devices; may be situational.
Synonyms/variants: ब्लड प्रेशर हाई है
Disambiguation questions: रीडिंग कितनी आई थी? | दवा नियमित ले रहे हैं? | सिर दर्द/धुंधला दिखना?",cultural_semantics,hi-en,Cardiovascular,varies,True
CS014,"गला बैठ गया है (gala baith gaya hai)
Literal: The throat has sat down
Meaning: Hoarseness/laryngitis; usually viral/overuse; consider GERD/allergy if chronic.
Cultural context: Common idiom for hoarse voice.
Synonyms/variants: आवाज़ बैठ गई है
Disambiguation questions: कितने दिन से? | खांसी/जुकाम साथ में? | धूम्रपान का इतिहास? | अम्लपित्त/GERD के लक्षण?",cultural_semantics,hi-en,ENT,mild,False
CS015,"जोड़ों में दर्द (jodon mein dard)
Literal: Pain in the joints
Meaning: Arthralgia; consider OA, RA, viral arthritis, vitamin D deficiency.
Cultural context: Often attributed to ‘गठिया’ broadly.
Synonyms/variants: गठिया का दर्द
Disambiguation questions: सुबह जकड़न कितनी देर रहती है? | सूजन/लालिमा? | हाल में वायरल बुखार?",cultural_semantics,hi-en,Musculoskeletal,mild_to_moderate,False
